HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
1,Switzerland,VERY HIGH ,0.962,84,16.5,13.9,66933,5,3
2,Norway,VERY HIGH ,0.961,83.2,18.2,13,64660,6,1
3,Iceland,VERY HIGH ,0.959,82.7,19.2,13.8,55782,11,2
4,"Hong Kong, China (SAR)",VERY HIGH ,0.952,85.5,17.3,12.2,62607,6,4
5,Australia,VERY HIGH ,0.951,84.5,21.1,12.7,49238,18,5
6,Denmark,VERY HIGH ,0.948,81.4,18.7,13,60365,6,5
7,Sweden,VERY HIGH ,0.947,83,19.4,12.6,54489,9,9
8,Ireland,VERY HIGH ,0.945,82,18.9,11.6,76169,-3,8
9,Germany,VERY HIGH ,0.942,80.6,17,14.1,54534,6,7
10,Netherlands,VERY HIGH ,0.941,81.7,18.7,12.6,55979,3,10
11,Finland,VERY HIGH ,0.94,82,19.1,12.9,49452,11,12
12,Singapore,VERY HIGH ,0.939,82.8,16.5,11.9,90919,-10,10
13,Belgium,VERY HIGH ,0.937,81.9,19.6,12.4,52293,7,16
13,New Zealand,VERY HIGH ,0.937,82.5,20.3,12.9,44057,16,13
15,Canada,VERY HIGH ,0.936,82.7,16.4,13.8,46808,9,15
16,Liechtenstein,VERY HIGH ,0.935,83.3,15.2,12.5,146830,-15,14
17,Luxembourg,VERY HIGH ,0.93,82.6,14.4,13,84649,-13,17
18,United Kingdom,VERY HIGH ,0.929,80.7,17.3,13.4,45225,9,17
19,Japan,VERY HIGH ,0.925,84.8,15.2,13.4,42274,12,19
19,Korea (Republic of),VERY HIGH ,0.925,83.7,16.5,12.5,44501,9,20
21,United States,VERY HIGH ,0.921,77.2,16.3,13.7,64765,-14,21
22,Israel,VERY HIGH ,0.919,82.3,16.1,13.3,41524,10,22
23,Malta,VERY HIGH ,0.918,83.8,16.8,12.2,38884,12,26
23,Slovenia,VERY HIGH ,0.918,80.7,17.7,12.8,39746,10,23
25,Austria,VERY HIGH ,0.916,81.6,16,12.3,53619,-8,23
26,United Arab Emirates,VERY HIGH ,0.911,78.7,15.7,12.7,62574,-15,25
27,Spain,VERY HIGH ,0.905,83,17.9,10.6,38354,10,27
28,France,VERY HIGH ,0.903,82.5,15.8,11.6,45937,-2,28
29,Cyprus,VERY HIGH ,0.896,81.2,15.6,12.4,38188,9,29
30,Italy,VERY HIGH ,0.895,82.9,16.2,10.7,42840,0,32
31,Estonia,VERY HIGH ,0.89,77.1,15.9,13.5,38048,8,30
32,Czechia,VERY HIGH ,0.889,77.7,16.2,12.9,38745,4,30
33,Greece,VERY HIGH ,0.887,80.1,20,11.4,29002,17,33
34,Poland,VERY HIGH ,0.876,76.5,16,13.2,33034,8,36
35,Bahrain,VERY HIGH ,0.875,78.8,16.3,11,39497,-1,35
35,Lithuania,VERY HIGH ,0.875,73.7,16.3,13.5,37931,5,34
35,Saudi Arabia,VERY HIGH ,0.875,76.9,16.1,11.3,46112,-10,38
38,Portugal,VERY HIGH ,0.866,81,16.9,9.6,33155,3,39
39,Latvia,VERY HIGH ,0.863,73.6,16.2,13.3,32803,4,37
40,Andorra,VERY HIGH ,0.858,80.4,13.3,10.6,51167,-19,45
40,Croatia,VERY HIGH ,0.858,77.6,15.1,12.2,30132,8,41
42,Chile,VERY HIGH ,0.855,78.9,16.7,10.9,24563,14,43
42,Qatar,VERY HIGH ,0.855,79.3,12.6,10,87134,-39,42
44,San Marino,VERY HIGH ,0.853,80.9,12.3,10.8,52654,-25,46
45,Slovakia,VERY HIGH ,0.848,74.9,14.5,12.9,30690,1,40
46,Hungary,VERY HIGH ,0.846,74.5,15,12.2,32789,-2,44
47,Argentina,VERY HIGH ,0.842,75.4,17.9,11.1,20925,17,47
48,Türkiye,VERY HIGH ,0.838,76,18.3,8.6,31033,-3,48
49,Montenegro,VERY HIGH ,0.832,76.3,15.1,12.2,20839,16,52
50,Kuwait,VERY HIGH ,0.831,78.7,15.3,7.3,52920,-32,54
51,Brunei Darussalam,VERY HIGH ,0.829,74.6,14,9.2,64490,-42,49
52,Russian Federation,VERY HIGH ,0.822,69.4,15.8,12.8,27166,-1,49
53,Romania,VERY HIGH ,0.821,74.2,14.2,11.3,30027,-4,53
54,Oman,VERY HIGH ,0.816,72.5,14.6,11.7,27054,-2,51
55,Bahamas,VERY HIGH ,0.812,71.6,12.9,12.6,30486,-8,58
56,Kazakhstan,VERY HIGH ,0.811,69.4,15.8,12.3,23943,1,59
57,Trinidad and Tobago,VERY HIGH ,0.81,73,14.5,11.6,23392,1,56
58,Costa Rica,VERY HIGH ,0.809,77,16.5,8.8,19974,8,57
58,Uruguay,VERY HIGH ,0.809,75.4,16.8,9,21269,5,55
60,Belarus,VERY HIGH ,0.808,72.4,15.2,12.1,18849,8,60
61,Panama,VERY HIGH ,0.805,76.2,13.1,10.5,26957,-8,67
62,Malaysia,VERY HIGH ,0.803,74.9,13.3,10.6,26658,-8,61
63,Georgia,VERY HIGH ,0.802,71.7,15.6,12.8,14664,17,64
63,Mauritius,VERY HIGH ,0.802,73.6,15.2,10.4,22025,-1,62
63,Serbia,VERY HIGH ,0.802,74.2,14.4,11.4,19123,4,62
66,Thailand,VERY HIGH ,0.8,78.7,15.9,8.7,17030,6,64
67,Albania,HIGH,0.796,76.5,14.4,11.3,14131,17,68
68,Bulgaria,HIGH,0.795,71.8,13.9,11.4,23079,-8,64
68,Grenada,HIGH,0.795,74.9,18.7,9,13484,18,70
70,Barbados,HIGH,0.79,77.6,15.7,9.9,12306,26,71
71,Antigua and Barbuda,HIGH,0.788,78.5,14.2,9.3,16792,2,71
72,Seychelles,HIGH,0.785,71.3,13.9,10.3,25831,-17,69
73,Sri Lanka,HIGH,0.782,76.4,14.1,10.8,12578,21,75
74,Bosnia and Herzegovina,HIGH,0.78,75.3,13.8,10.5,15242,4,73
75,Saint Kitts and Nevis,HIGH,0.777,71.7,15.4,8.7,23358,-16,76
76,Iran (Islamic Republic of),HIGH,0.774,73.9,14.6,10.6,13001,15,77
77,Ukraine,HIGH,0.773,71.6,15,11.1,13256,11,78
78,North Macedonia,HIGH,0.77,73.8,13.6,10.2,15918,-3,79
79,China,HIGH,0.768,78.2,14.2,7.6,17504,-8,82
80,Dominican Republic,HIGH,0.767,72.6,14.5,9.3,17990,-11,82
80,Moldova (Republic of),HIGH,0.767,68.8,14.4,11.8,14875,-1,81
80,Palau,HIGH,0.767,66,15.8,12.5,13819,5,80
